p_id,p_name,p_categories,p_id_shop,p_shop_name,p_brand,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
52712429,Bộ 4 lót nồi Malloca MST-6667 - 100% Silicone - Chịu nhiệt độ lên đến 220 độ C - Hàng chính hãng,Phụ kiện nhà bếp khác,13122.0,Bếp XANH Family ,Malloca,992.0,18,260000,260000,0
22514033,Tranh thêu chữ thập 4 bức rời Bộ Tứ Quý Tùng Cúc Trúc Mai (40*100cm*4) chưa thêu,Nhà Cửa - Đời Sống,40727.0,Shop tranh Quốc Thịnh,OEM,1272.0,7,289000,289000,0
132017922,Đèn Thờ Tổ Tiên Công Đức Muôn Đời Thịnh - Con Cháu Thảo Hiền Vạn Kiếp Vinh- 16 màu 40-50-60cm,Phụ kiện thờ cúng,233159.0,Led HINASA,OEM,436.0,7,579000,579000,0
157852287,HỢP KIM YT726 C120 / 1 VIÊN / 9G / MŨI TIỆN HIX- GIA CÔNG THÉP SAU NHIỆT / GIA CÔNG THÉP CỨNG,Khác,229037.0,LINH KIỆN MÁY MÓC VĂN THÁI,OEM,357.0,13,40000,40000,0
172709177,"Hũ Đựng Gia Vị - Lọ Đựng Gia Vị Thủy Tinh Kèm Thìa Thông Minh Cao Cấp, Chống Ẩm - Hàng Chính Hãng",Hũ,249634.0,Homebox Store,JYooHome,282.0,2006,25000,12500,50
174162725,Cốc Gấu Dán Tường Để Bàn Chải Đánh Răng Hình Gấu Có Lỗ Thoát Nước Tiện Lợi - Hàng chính hãng,Kệ nhà tắm,249634.0,Homebox Store,JYooHome,271.0,1164,25000,12500,50
138336249,"Kệ Sách Tổ Ong Vân Gỗ FIVO Mã FB01 Đa Năng Dùng Để Làm Giá Sách, Kệ Giày, Kệ Tivi, Tủ Đầu Giường - Hàng Chính Hãng",Tủ,112244.0,Vimila Mart,SPEVI,421.0,260,124000,119000,4
200998183,"Combo Bánh Tráng Phơi Sương 100g - 100g Bơ Trứng Gà, 120ml Muối Tôm Hành Phi",Nội thất khác,288932.0,Thực Phẩm ÔNG BỐN,OEM,82.0,54,39000,39000,0
172950048,"Kệ Nhà Bếp Đa Năng, Kệ Để Lò Vi Sóng Chính Hãng IGA - GM05",Kệ nhà bếp,48574.0,IGEA Nội Thất Thông Minh,IGA,281.0,249,238000,224000,6
169772189,"Giỏ nhựa đựng đồ đa năng có nắp đậy cao cấp Deli - Đựng sách vở đồ cá nhân mỹ phẩm quần áo chăn gối ga mền - Nhiều size, kích cỡ lớn nhỏ , có tay cầm, phong cách Nhật Bản đơn giản, tiện dụng, vật liệu an toàn",Nhà Cửa - Đời Sống,113115.0,Deli Official Store,Deli,295.0,549,100800,45000,55
1084776,Chảo Chống Dính Vân Đá Đáy Từ HappyCook MFP-26IH GRAY (26cm),Nhà Cửa - Đời Sống,1.0,Tiki Trading,Happy Cook,1881.0,1406,373000,198000,47
81316180,"Ruột Chăn Bông Sông Hồng Siêu Nhẹ, Siêu Mềm, Kháng Khuẩn Cao Cấp 2 Loại Dày/Mỏng",Chăn,29686.0,ĐỆM HỒNG,OEM,663.0,291,420000,351600,16
171838775,"Giỏ Hoa Treo Ban Công, Chậu hoa, Cây Cảnh Có Móc Treo, Khung Sắt Đặc Chắc Chắn - Có Sơn Tĩnh Điện - Hàng Chính Hãng",Bình,249634.0,Homebox Store,JYooHome,286.0,605,70000,35000,50
200751586,Thảm Bali Trải Sàn - Thảm Trải Sàn 100% Nhập Khẩu - Tổng Kho,Trang trí nhà cửa khác,309103.0,Tổng Kho Thảm Trung Kiên,OEM,84.0,29,399000,269000,33
195659293,Đui đèn cảm biến chuyển động hồng ngoại LOẠI TỐT NÚT GẠT đui đèn cảm ứng chuyển động,Linh kiện đèn,258659.0,Pin Bom Shop,OEM,138.0,10,47999,47999,0
73384182,Bộ 4 pin sạc AA dung lượng cao 3000 mAh kèm sạc DC401L Tự ngắt khi đầy Sạc Tốc Độ Cao Có Led báo trạng thái sạc,Máy sạc pin,133168.0,LUCKY HOUSE,OEM,768.0,13,217000,217000,0
181988661,Bình Bơm ga cho bật-lửa-hộp-quẹt kèm 5 đầu bơm các loại bật-lửa-gas - Blue Hàn Quốc 150 gram,Than,67417.0,Shop AZ,OEM,228.0,33,85000,85000,0
162875961,Hộp 10 Đôi Đũa  Sừng Chất Liệu Hợp Kim Mạ Vàng Cao Cấp Đầu Đũa Có Chống Trơn - Hàng Loại 1 - Chính Hãng MINIIN,Đũa,203034.0,Gia Dụng Trí Vũ,MINIIN,320.0,38,32000,30700,4
186254300,Ga chống thấm một màu Lidaco đủ size nệm (màu ngẫu nhiên),Bộ ga,43482.0,Lidaco Official Store,LIDACO,203.0,168,79000,75000,5
98116109,"Đèn Học Chống Cận Thị, Đèn Đọc Sách, Đèn Làm Việc Để Bàn Chống Chói Mắt Lóa Mắt Bảo Vệ Mắt, Kẹp Đầu Giường - Điều Chỉnh Được Độ Sáng - Hàng Chính Hãng - VinBuy",Đèn bàn,109746.0,VinBuy,VinBuy,591.0,708,260000,135800,48
14639229,Nắp Kính Cường Lực Nồi Và Chảo Fivestar,Nồi các loại,12857.0,SHOP BẾP XINH,Fivestar,1350.0,924,55000,52000,5
186348775,"Đệm ngồi ghế văn phòng chống đau xương cụt, ê mông, thâm mông, xệ mông cho dân văn phòng, lái xe, học sinh - Thương hiệu EMA - Loại cao cấp có gel tản nhiệt",Nhà Cửa - Đời Sống,18299.0,Gối nêm Hi-Sleep Store,Ema,203.0,787,458000,229000,50
58161769,"Bộ dụng cụ nâng và di chuyển đồ tam giác 40, bánh bằng sắt",Khác,11060.0,Công Cụ Tốt,GOODTOOL,901.0,283,209000,209000,0
165013585,"Ổ Cắm Điện Dài VINAVU Kèm Cổng USB Công Tắc Riêng Chịu Tải 2500W, Chống Giật, Chống Cháy",Ổ cắm,17480.0,Ghế Nam Việt,OEM,313.0,253,199000,199000,0
26149459,Bộ Muỗng Đũa Cơm Trưa INOX 304 Thiết Kế Sang Trọng Mạ PVD Cao Cấp,Nhà Cửa - Đời Sống,59942.0,Vikicare Shop,OEM,1239.0,8,89000,89000,0
949687,Kệ Đỡ Màn Hình Máy Tính Monitor Stand Plyconcept MSM01001 (490 x 200 mm) - Gỗ,Nhà Cửa - Đời Sống,1303.0,MipuMade,Plyconcept,1853.0,1823,300000,220000,27
72911637,Máy nén khí GGG không dầu 24L công suất 600w,Khác,293357.0,DoDiDu,OEM,778.0,24,1399000,1320000,6
71924152,"Mùng chụp, màn chụp tự bung chống muỗi FUNU - Hàng chính hãng, sản xuất tại Việt Nam",Phụ kiện phòng ngủ khác,134154.0,Funu Home,FuNu,797.0,594,160000,145000,9
157055091,"Combo 3 Bịt Nắp Cống Silicon - Ngăn Mùi Thoát Sàn, Ngăn Trào Ngược Nhà Tắm, Côn Trùng Xâm Nhập - HÀNG LOẠI 1",Thiết bị phòng tắm khác,134678.0,Smarthome29,MINIIN,359.0,131,32000,32000,0
70809147,SET 2 TÚI ĐỰNG QUẦN ÁO KHUNG THÉP GẤP GỌN 66L -  Dài 50 cm x Rộng 40 cm x Cao 33 cm. ,Tủ,132509.0,Blue Home,Morninghouse,807.0,256,175000,169000,3
54075478,Thảm Chùi Chân MECK: 60x40x2cm,Thảm chùi chân,7606.0,MECK,MECK,964.0,1678,55000,55000,0
16869707,Kính Bịt Mắt Ngủ 3D (Đen),Nhà Cửa - Đời Sống,9612.0,AUCOSTA,OEM,1321.0,460,39000,29000,26
117282929,Phích ổ cắm đa năng LiOA chuyển 3 chân thành 2 chân 15A/220V Chân Tròn/Dẹt - Ổ điện chuyển đổi từ 3 chấu sang 2 chấu ,Ổ cắm,269975.0,Thiết Bị Điện Ánh Tuyết,LiOA,512.0,32,17990,17990,0
140951557,Tấm lót sàn nhà vệ sinh 3T. Vỉ nhựa lót sàn chống trơn Trải Sàn Nhà Tắm/Vệ Sinh/Nhà Bếp.,Thảm chùi chân,234077.0,T Store 01,3T,413.0,2147,6400,6400,0
143217219,"Kệ Đa Năng Lưu Trữ Đồ Dùng, Giá Sách Có Bánh Xe Thương Hiệu IGA - GP173",Kệ & Tủ,48574.0,IGEA Nội Thất Thông Minh,IGA,406.0,426,268000,256000,4
71999229,Nồi Inox 3 Lớp Đáy Liền Elmich Trimax Classic,Nồi các loại,1.0,Tiki Trading,Elmich,798.0,419,750000,479000,36
153036917,"Đèn Học Để Bàn Chống Cận 3 Chế Độ Ánh Sáng - Đèn bàn Led tích điện đa năng hỗ trợ đọc sách, làm việc, trang trí Mẫu YL72 - JYooHome - Hàng Nhập Khẩu",Đèn bàn,249634.0,Homebox Store,JYooHome,372.0,409,230000,148000,36
143038715,Dây Đèn Led Hình Quả Cầu Tuyết / Ông Già Noel / Người Tuyết Trang Trí Nhà Cửa Dịp Giáng Sinh (Vàng - Đa Sắc),Đèn khác,35348.0,Kho cấp 1 Rạng Đông,OEM,407.0,110,189000,189000,0
68034681,"Ruột Gối Nằm Thuần Việt Cozy Cao Cấp, Êm Ái Vượt Trội, Thoáng Mát",Nhà Cửa - Đời Sống,56226.0,NỆM THUẦN VIỆT,Nệm Thuần Việt,809.0,1066,187000,69000,63
146562328,Bộ ga giường Everon Lite ELM 210 Microfiber Xanh dương (4 món),Bộ ga,2207.0,Everon Official Store,Everon Lite,394.0,137,800000,478000,40
76176357,Chăn Hè Microfiber Xám Everon Lite ELM102 200x220cm,Chăn,2207.0,Everon Official Store,Everon Lite,715.0,200,770000,460000,40
190754264,Bộ Ga Giường Tencel Thuần Việt Cao Cấp - Xanh Dương TVM15 (4 Món),Bộ ga,56226.0,NỆM THUẦN VIỆT,Nệm Thuần Việt,175.0,60,1088000,497000,54
184247506,Muối Tôm Như Ý Thượng Hạng Hộp 400g,Phụ kiện nhà bếp khác,74878.0,Gối cột sống TN,OEM,218.0,126,95000,86000,9
68391419,ĐẦU VÒI RỬA CHÉN LỌC NƯỚC TĂNG ÁP 360 ĐỘ - giao màu ngẫu nhiên,Nhà Cửa - Đời Sống,76796.0,Vietstore24h,OEM,832.0,6,8880,9200,0
73600593,Cây Lăn Bụi Quần Áo Thông Minh 50 Lớp COLOCOLO Nhật Bản - C2410,Cây lăn bụi,157763.0,AZT Store,COLOCOLO,762.0,191,219000,219000,0
176775668,"Chổi Cọ Nhà Vệ Sinh, Cây Cọ Toilet Bồn Cầu Bằng Silicon Mẫu Mới - Hàng Chính Hãng",Bàn chải,249634.0,Homebox Store,JYooHome,255.0,371,30000,15000,50
204538261,"Ly Giữ Nhiệt Phong Cách Trẻ Trung, Chất Liệu Inox304, Giữ Nóng Lạnh, Kèm Ống Hút - Chính Hãng NAVIVU",Ly,17480.0,Ghế Nam Việt,NAVIVU,59.0,22,169000,169000,0
106208909,"Ô dù che mưa cỡ lớn tự động đóng mở, gấp gọn tiện lợi - Thiết kế mở ngược chống ướt khi mở, gập - Chính hãng NIKITA",Áo mưa,19288.0,NIKITA Official Store,Nikita,567.0,668,248000,148000,40
106610513,"Gối tựa lưng văn phòng hình thú Ema - Chất liệu cao su non cao cấp - Có đai cài - Giảm đau mỏi khi phải ngồi lâu, tựa lưng thư giãn thoải mái",Gối các loại,18299.0,Gối nêm Hi-Sleep Store,Ema,567.0,271,370000,185000,50
185647202,"Tranh Cát Chảy Chuyển Động 3D KUNBE Nhiều Mẫu Trang Trí Nhà Cửa Bàn Làm Việc, Giảm Stress",Nhà Cửa - Đời Sống,61513.0,chat24h,K KUNBE everything you need,208.0,221,203000,195000,4
91892226,"Bàn Gấp Học Sinh Thông Minh Gấp Gọn, Bàn Xếp Laptop Đa Năng Có Thể Gấp Gọn Tùy Chỉnh Nhiều Góc Độ. Chất Liệu Trúc Siêu Nhẹ - Hàng Chính Hãng Tamayoko TM02",Bàn ghế học sinh,97355.0,Future Store,Tamayoko,624.0,1499,500000,449000,10
199596012,Chăn Điện Sưởi Ấm Nhanh - Đệm Sưởi Điện Cao Cấp Tuỳ Chỉnh Nhiệt Độ ,Chăn,164020.0,DE HOUSE,pehouse,90.0,57,1800000,1099000,39
134360863,"Vỉ 6 Viên Pin AA , Pin AAA Energizer Max 1,5V Alkaline - Hàng chính hãng",Pin tiểu,177466.0,Energizer Official Store,Energizer,435.0,125,98000,78000,20
181223608,Bộ vòi xịt vệ sinh rửa toilet có dây sen 1.5m Hobby VSR1 chuẩn Inox 304 - phun cực mạnh,Vòi nước các loại,20023.0,Hobby Home Decor,Hobby Home Decor,231.0,96,229000,149000,35
187179371,"Dụng Cụ Kẹp Càng Cua, Ghẹ, Qủa Óc Chó Và Các Hạt Khô Tiện Ích Inox",Phụ kiện nhà bếp khác,151652.0,Jodily StarHome HP,Jodily StarHome,197.0,120,65000,61700,5
142261128,"Đệm Lót Ghế Ngồi Nooz Home Goods Gối Lót Ghế Ngồi Bệt Memory Foam Giúp Chống Đau Lưng, Đau Xương Cụt, Đau Thần Kinh Tọa Ruột Đệm Cao Su Non Danh Cho Dân Văn Phòng",Gối các loại,136324.0,Nooz Home Goods,NOOZ,407.0,601,580000,339000,42
43759208,Đèn Ngủ Quả Cầu Mây - Đèn Ngủ Trang Trí Led Blackinner (đế xếp) Có Điều Chỉnh Độ Sáng - Hàng chính hãng,Nhà Cửa - Đời Sống,112244.0,Vimila Mart,Blackinner,1127.0,596,234000,164000,30
191378480,[HỘP 500 cây] Nhang Quế Thiên Nhiên - mộc lâm - 29cm - Nhang Sạch - Ít Khói - Hương thơm thanh dịu,Hương,163672.0,Nhang Thiên Nhiên Mộc Lâm,mộc lâm,160.0,99,120000,113000,6
75478111,"Bộ tượng 04 chú tiểu trang trí xe hơi, bàn làm việc, mang lại bình an, hạnh phúc ",Mô hình & Tượng trang trí,152429.0,MOHI,MO hi,728.0,230,49000,45000,8
88925284,Ổ Cắm Điện LIOA 10 ổ dây 3m(4D6S32) & 5m (4D6S52),Ổ cắm,269975.0,Thiết Bị Điện Ánh Tuyết,LiOA,639.0,10,133900,133900,0
176592358,Cây lau nhà tự vắt đa năng Sunhouse KS-MO3211PW,Dụng cụ lau nhà khác,1.0,Tiki Trading,Sunhouse,254.0,130,263000,173000,34
144590196, Kéo Nhật Nhà Bếp Cắt Gà Cắt Đồ Đa Năng Jodily - Hàng Chính Hãng ,Kéo các loại,151652.0,Jodily StarHome HP,Jodily StarHome,400.0,311,105000,99700,5
162399144,Máy Rót Rượu Tự Động Cảm Ứng Thông Minh - Mẫu Mới,Phụ kiện phòng ăn khác,173464.0,3T Toàn Cầu,3T,322.0,161,599000,450000,25
198539715,"[Quà Tặng] Kích thích ra rễ cực mạnh ROOTKING lọ 20ml, dùng giâm chiết cành, kích rễ, hàng công ty",Phân bón,227357.0,vật tư nông nghiệp thành đạt,OEM,101.0,113,15000,15000,0
203019504,Kéo Cắt Thực Phẩm Nhà Bếp Đa Năng Benchusch ,Kéo các loại,1156.0,PATYCA SHOP,Benchusch,69.0,26,239000,129000,46
56737206,Túi Rác Tự Hủy Có Quai Tiện Dụng SOJI INOCHI Nhật Bản - Màu Đen Dạng Cuộn - Nhiều Size - Đa dạng công năng sử dụng,Túi đựng rác,17480.0,Ghế Nam Việt,Inochi,929.0,49,30000,30000,0
129737243,Hộp 10 Viên Gas Tạo Soda GEVI - Hàng Chính Hãng,Phụ kiện nhà bếp khác,107147.0,Nonostyle Official Store,Gevi,448.0,153,125000,119000,5
186104830,Tủ Giày Gỗ MDF Chống Ẩm Cánh Lật Siêu Gọn 3 Ngăn Có Hộc Và Đệm Da Ngồi Sang Trọng VANDO ,Kệ & Tủ,157549.0,Vando Official Store,VANDO,204.0,102,1169000,899000,23
190322459,Kéo cắt cành cộng lực chuyên dụng Germany -dụng cụ làm vườn đa năng,Dụng cụ làm vườn khác,221038.0,Shop Gia Dụng Tiện Lợi,OEM,180.0,174,300000,164200,45
137442930,Thảm Lau Chân Chùi Chân Nhà Tắm chống trượt 3d nhà bếp welcome cao cấp giá rẻ khách sạn đế cao su hút nước,Thảm chùi chân,141070.0,Shouse,Shouse,425.0,2841,34900,34900,0
76119803,Bộ ga giường Everon Lite ELM 102 Microfiber Xám (4 món),Bộ ga,2207.0,Everon Official Store,Everon Lite,715.0,210,770000,460000,40
212982034,"Giàn viên , Giàn hoa , Giàn nhấp nháy 121 BQP",Linh kiện đèn,241382.0,PBUI STORE,OEM,9.0,12,590000,590000,0
172111074,"Kệ Sách Gỗ 5 Tầng, Giá Sách Đứng Cạnh Bàn Làm Việc - GP189",Tủ,48574.0,IGEA Nội Thất Thông Minh,IGA,285.0,248,292000,279000,4
52316356,"Bộ máy khoan pin RAKUTEN 66V  khoan tường, khoan sắt, khoan bê tông máy 2 pin, đảo chiều và mũi khoan",Máy khoan,86709.0,PHAN GIA BBK,rakuten,999.0,400,699000,699000,0
122310873,"Nhang Khoanh trầm hương cao cấp 12 Năm tích trầm - Tặng kèm lư sứ xông nhà - Thơm lâu, an toàn sức khỏe - Thiên Mộc Hương",Hương,1795.0,Thiên Mộc Hương Official Store,Thiên Mộc Hương,475.0,141,550000,350000,36
195852180,Ly nhựa 2 lớp có ống hút LocknLock Bucket Cold Cup with Straw HAP520 580ml,Bình giữ nhiệt,1.0,Tiki Trading,LocknLock,135.0,178,241000,120000,50
32178097,Chảo Sâu Lòng NAG2653 Đáy Từ 5 Lớp Chống Dính Vung Kính Siêu Bền Nagakawa (26cm) - Dùng Trên Mọi Loại Bếp - Hàng Chính Hãng,Nhà Cửa - Đời Sống,1.0,Tiki Trading,Nagakawa,1210.0,2146,585000,398000,32
