p_id,p_name,p_id_shop,p_shop_name,p_brand,p_categories,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
58828647,"Xe đẩy hàng 4 bánh SUMIKA T150 - Khung thép, tay cầm gấp mở tiện lợi, tải trọng 150kg",283011.0,Gia dụng Huy Linh,Sumika,Nhà Cửa - Đời Sống,883.0,0,949000,949000,0
107351108,Hạt giống Rau Mùng tơi F1 - Nảy mầm cao Titapha,92052.0,Phú Thành Phát,Titapha,Hạt giống,562.0,404,13900,13900,0
193279804,Bộ tranh đính đá 5D tự làm hình cô bé dễ thương 30*30cm,271210.0,Tranhdinhdatulam,OEM,Root,155.0,63,49900,49900,0
80757840,"Combo 3 Hộp Vải Đựng Đồ Đa Năng TD2 – Túi Vải Thụy Điển Không Nắp Bộ 3 Chiếc Sang Trọng, Đẳng Cấp miDoctor",34473.0,Danido Store,miDoctor,Tủ,667.0,1082,200000,147400,26
74155997,Đèn Pin Led Essesa Cầm Tay Có Thể Gắn Xe Đạp - Chính Hãng,134154.0,Funu Home,Essesa,Đèn pin,751.0,10,110000,110000,0
73095635,Giỏ Đựng Đồ Đa Năng Gấp Gọn Tiện Lợi - Màu Ngẫu Nhiên,115414.0,Gold,OEM,Giỏ đựng quần áo,776.0,30,110000,85000,23
191592137,Set quà tặng thảo mộc khô thơm - thương hiệu Citta - trang trí nhà cửa + thơm nhà,159301.0,Thế giới mùi hương tự nhiên,Citta,Nến trang trí & Phụ kiện,169.0,50,220000,220000,0
74285588,Khăn tắm lông cừu Hàn Quốc,53713.0,linhkien1984,OEM,Khăn,749.0,6,32900,32900,0
27656117,"Thùng rác nhựa văn phòng, kiểu Âu - Fitis 2 lớp (xám) - ROM3-909",24615.0,KENZIO,Fitis,"Thùng rác, đồ hốt rác",1078.0,69,190000,152000,20
195928002,Combo Chai Nhựa HDPE (250ml - 500ml - 1000ml) Có Nắp + Seal Chống Tràn,302028.0,Gia Dụng Hoàng Phát,OEM,Bình đựng nước,134.0,30,22500,22500,0
