p_id,p_review_count,p_rating_average
51473042,11,4.6
52187161,6,4.3
200868130,867,4.5
131407862,290,4.3
167391475,4,4.8
36300228,13,3.6
117195930,68,4.6
37156888,21,4.8
152887056,21,4.8
48716910,174,4.6
125084260,58,4.7
203821499,6,5.0
203822775,6,5.0
56383693,30,5.0
122939123,79,4.5
134242996,197,4.8
45300792,322,4.5
194125023,14,4.8
781987,785,4.6
174489160,3,4.7
35876754,57,4.2
149573787,123,4.6
177158773,67,5.0
146887829,244,4.6
130767592,162,4.8
89992214,388,4.5
117353723,257,4.8
103755910,154,4.8
113458874,423,4.5
172950048,48,4.7
53647975,217,4.7
67823334,245,4.7
7202377,305,4.7
103757642,9,5.0
196530940,0,0.0
35058677,187,4.8
186555776,5,4.0
144803060,3,3.7
146935803,13,4.5
139716223,6,4.0
128593256,41,4.5
58840638,462,4.6
134515126,89,4.8
54686184,521,4.6
75664370,117,4.8
133573968,174,4.7
171734583,52,4.8
147976287,115,4.6
177969021,21,4.8
111843864,143,4.6
54625005,25,4.6
183057936,8,4.5
51915247,18,4.7
189208326,11,4.7
14681534,35,4.8
20680352,58,4.7
133136224,61,4.7
55409217,5,4.8
176024460,7,5.0
7699064,366,4.6
696349,136,4.6
195979652,13,4.6
20033756,19,4.6
196552579,4,5.0
34171666,5,5.0
127747995,132,4.7
201566005,0,0.0
36560504,464,4.8
75354717,348,4.5
50098102,860,4.2
72015075,438,4.5
186254300,8,4.5
155184630,53,5.0
3677797,545,4.8
96183241,23,4.8
53599746,18,4.6
52578184,5,4.6
20422266,500,4.6
76119803,36,4.7
114204740,169,4.8
68716601,167,5.0
115673330,43,3.7
54122078,119,5.0
103467467,11,3.8
164782821,15,4.5
158816081,4,4.5
3515227,16,4.2
73637243,494,4.6
196206937,1,5.0
195791851,5,5.0
155794592,197,4.5
54130086,553,4.7
26387653,82,5.0
71174837,22,4.7
96489644,48,4.6
104681142,207,4.8
185949624,4,4.5
181804475,0,0.0
58498874,195,4.7
80617683,1016,4.6
120552064,13,5.0
185653590,31,4.5
159971094,155,4.7
10227148,421,4.6
4497007,145,4.3
201841932,0,0.0
176691427,2,5.0
164244221,0,0.0
73918875,458,4.3
2151853,1575,4.5
197709905,28,5.0
46235645,95,4.6
201687096,16,5.0
21301419,95,4.5
188153396,2,5.0
11088145,124,4.8
4361879,430,4.5
121396300,7,4.7
180378151,120,4.7
63051860,872,4.7
138910755,131,4.8
2236967,239,4.5
57945711,213,4.7
114976767,472,4.7
55669191,1600,4.5
152561356,27,4.1
25140473,107,4.6
171319644,30,5.0
198058599,25,5.0
100522012,125,4.8
173717324,18,4.5
146509745,260,4.5
73493365,328,4.6
48594883,73,4.8
161301569,37,4.8
79445924,79,4.8
1918931,70,4.5
164593190,12,4.5
184737864,21,4.3
133245917,51,4.5
165029589,19,4.5
68478297,790,4.5
177350932,15,4.7
199728521,38,4.5
107961495,228,4.7
59425995,116,4.5
114789036,7,4.6
45126295,107,4.2
146288304,59,4.8
153866257,32,4.8
188447920,7,4.6
98562199,1,5.0
75616917,12,5.0
134853381,236,5.0
10404394,62,4.6
199593599,381,4.5
142382946,167,4.2
186085673,17,4.7
72459016,488,4.7
174162725,95,4.8
40717161,65,4.8
142261128,149,4.8
109468955,66,4.8
174897090,16,4.7
59220164,70,5.0
94724913,284,4.5
139699115,0,0.0
32178075,246,4.0
58546654,971,4.5
54682452,1,3.0
116766480,36,5.0
51554889,17,4.1
136543796,14,5.0
1403217,179,4.5
120273991,67,4.6
122642488,233,4.8
186991942,152,4.7
56336206,326,4.5
38309801,102,4.8
177488266,11,4.2
196813044,0,0.0
70684212,499,4.2
173854188,30,4.8
178068438,30,5.0
115972805,65,4.7
106208918,23,4.7
88222310,220,4.7
138952791,211,4.7
19929974,59,5.0
90941221,18,4.3
162112460,21,5.0
117585884,34,4.6
55630076,328,4.7
43759208,134,4.8
186654717,8,4.3
184738006,33,4.7
176598081,127,5.0
102488853,525,4.8
171198348,43,4.7
54051410,1637,4.5
53467695,575,4.0
197719976,47,4.2
164479566,203,4.8
198349400,8,4.5
25051899,18,5.0
71178441,200,4.7
74859074,25,4.7
116198000,81,4.5
54476660,427,4.6
51476716,666,4.8
182787194,16,4.7
2297915,331,4.5
194570463,5,5.0
144269648,91,4.6
56596052,12,5.0
203804135,4,5.0
187843307,31,4.8
150663096,46,4.8
197887886,0,0.0
107879022,77,5.0
68716605,228,5.0
167507252,69,5.0
112760341,421,4.8
776480,406,4.7
159514748,24,5.0
151555811,0,0.0
106349518,7,4.7
152700947,55,4.5
167443166,25,4.7
69327492,90,4.8
77962744,32,4.3
32178088,312,4.5
949687,230,4.8
53926794,32,4.8
12736380,0,0.0
41886085,671,4.7
144549612,5,4.5
52260520,138,5.0
73758944,332,4.2
141001207,26,4.5
73640967,173,4.6
92453371,132,4.7
72527573,352,4.6
174618568,23,5.0
101870479,52,4.7
30008695,6,4.7
152789537,7,5.0
56228508,170,4.6
106707718,16,5.0
20634384,8,4.6
27948515,10,3.6
99491659,37,5.0
16382581,4,4.5
73529777,1045,4.8
140791193,70,5.0
167030045,46,4.7
94891198,403,4.6
153467342,19,5.0
794973,115,4.7
976105,925,4.7
165219472,0,0.0
171797241,25,4.7
100901221,44,4.8
104681211,43,4.8
73510651,14,3.4
89463597,40,4.5
42759652,73,4.6
191057553,47,4.6
72044284,129,4.7
144467081,17,4.5
144338466,17,4.1
178515092,18,4.7
103780888,56,4.8
69226574,265,4.8
191326389,7,3.9
8085585,137,4.8
174262175,51,4.6
141971329,60,4.8
67707813,49,4.5
4629707,788,4.6
57146868,138,4.3
103564402,24,4.5
185380294,1,1.0
73954967,14,4.7
141143706,68,4.7
116048764,558,4.6
579928,809,4.5
176598080,17,5.0
127152344,59,4.6
82875291,113,4.6
169558291,55,4.7
78010514,65,4.5
50324186,151,4.5
132855126,43,4.8
76103827,40,4.8
89043119,40,4.5
61278429,62,4.8
197746067,13,4.8
47990067,2,3.5
185380314,2,1.5
172527718,1,5.0
53926277,74,4.6
191356123,0,0.0
84710499,150,4.7
32178097,753,4.7
89308474,144,4.8
1611899,178,4.8
35273810,70,4.3
91204885,203,4.6
129621597,11,3.1
38114299,82,4.5
72646042,136,4.5
11487527,38,4.5
106338289,160,4.8
192258425,20,5.0
135726619,13,4.6
117656718,6,4.8
111410597,12,4.8
72860451,25,4.8
94776792,9,4.5
104681179,23,4.8
70191598,2,5.0
70536777,24,4.7
200762341,19,5.0
73467694,948,4.6
186693022,24,5.0
183029245,26,4.5
105657875,231,4.2
68053069,450,4.8
195791850,12,4.6
53973090,365,4.6
50294624,91,4.5
72615961,692,4.7
68187835,218,4.1
115523542,9,4.8
14448546,85,4.7
178078834,41,4.7
75727537,17,4.7
52238726,298,4.5
83927711,26,4.5
52760599,4,3.8
50775246,25,4.6
139264008,5,3.6
118679389,18,4.8
94888985,0,0.0
111472777,6,5.0
71999229,145,4.8
121367420,149,4.8
198650405,4,5.0
182709717,26,4.3
120481094,48,4.7
558335,66,4.5
157175018,58,4.8
187608312,25,4.5
168392269,49,4.6
84553938,37,3.8
73230427,236,4.7
193541405,21,5.0
180105045,4,4.8
42354346,257,4.8
81936285,18,4.3
180750013,24,5.0
56731480,14,5.0
155326704,26,5.0
75339729,210,4.6
51852428,0,0.0
96180139,17,4.7
22372768,2786,4.6
155156574,45,4.7
115966800,82,4.7
193433927,24,5.0
5422713,408,4.8
198219660,91,5.0
54460849,83,4.7
195949375,655,4.7
57755151,164,4.5
134419412,49,5.0
188141191,7,5.0
106633540,41,4.7
33404972,148,4.5
93201992,0,0.0
160920629,5,5.0
177780405,3,5.0
165705675,11,5.0
19638219,3,5.0
124973968,0,0.0
142096809,28,4.7
71111080,222,4.7
202805092,288,4.7
165844799,43,4.6
144203362,102,5.0
787867,1042,4.7
142214410,25,4.7
52582326,59,4.5
153291977,19,4.6
72646362,248,4.2
54582729,46,4.5
467912,4,5.0
192120961,11,4.6
30008773,83,4.5
52354974,48,4.7
146845870,60,4.8
172935367,6,5.0
177780263,0,0.0
198800866,1,5.0
78291301,42,4.5
109026622,0,0.0
196953574,0,0.0
90523892,298,5.0
191822621,19,5.0
49865603,145,4.7
107580275,83,4.7
44350764,207,4.2
200671792,4,5.0
98153708,117,4.7
12461025,34,4.8
195336059,1,4.0
152446666,5,3.8
52326967,5,4.8
172447892,44,5.0
91341361,2,4.5
76225928,2,5.0
170078929,14,4.6
72652203,756,4.8
58678597,210,4.5
135442243,86,4.7
97924113,87,4.6
173635827,94,4.6
67096743,166,4.8
72467949,100,4.7
152922000,68,5.0
74566558,93,4.8
55052995,42,4.6
152521474,19,4.5
190791221,3,5.0
173726235,3,5.0
22081865,217,4.7
50745575,473,4.6
57863885,9,4.7
41619779,0,0.0
176251866,24,4.7
24482769,124,4.5
44810740,3,4.3
188382929,2,5.0
36026924,46,4.7
133866129,75,4.5
91246081,0,0.0
110462470,3,5.0
21459762,66,4.7
77947848,170,4.6
197676301,108,4.8
75340681,679,4.8
74307763,374,4.5
53116171,97,4.8
71091864,6,4.0
1651191,176,4.7
71005991,859,4.6
25153119,70,4.6
169208802,52,4.5
74387377,246,4.7
20332810,1,5.0
56275200,0,0.0
1325531,168,4.6
3689333,16,4.7
191136118,10,4.5
160275393,7,5.0
83410208,36,4.6
15703213,109,4.3
4216861,17,4.5
91752104,2,5.0
82438829,17,5.0
17509774,17,4.0
85763912,15,5.0
41075957,0,0.0
13566672,106,4.8
143226182,7,5.0
134012657,4,5.0
121971058,13,4.7
199581980,780,4.6
79691104,581,4.5
128206072,220,4.7
7699062,366,4.7
134621577,230,4.7
72652196,654,5.0
62734430,125,4.6
136874704,2,4.0
130410828,12,4.8
122413518,80,4.8
95043563,289,4.7
125771437,8,5.0
172940012,24,4.6
74695680,45,4.7
34082222,60,4.7
135507759,49,4.8
106996271,2,5.0
53058011,81,4.0
6976013,2,5.0
195461779,23,5.0
11341623,28,4.7
5490513,13,3.8
95512139,43,4.7
179592776,1,5.0
201114033,1,3.0
116982229,12,4.3
3926203,59,4.7
72789914,109,4.6
68413077,32,5.0
115902462,1,5.0
81141333,930,4.7
81141333,930,4.7
125555122,98,4.3
162577287,82,4.6
200768673,7,4.6
38462026,59,4.7
51105287,333,5.0
49454962,181,5.0
144203367,54,4.7
127215514,36,5.0
185647202,27,4.8
11220810,126,4.7
160306775,7,5.0
54132706,157,4.7
47499726,38,4.7
37085290,158,4.7
156000557,6,4.7
162366804,8,4.5
118680989,34,5.0
108243370,62,4.6
194964311,5,3.8
54644755,170,4.3
55330440,33,4.6
147975049,105,4.8
66877902,271,4.8
160944369,4,5.0
71001139,76,4.8
193904069,2,4.0
126257102,44,5.0
101081328,5,3.2
110895947,7,4.3
119261360,27,4.2
576867,43,4.6
67811815,13,4.5
84953200,53,5.0
158142189,10,5.0
172111074,41,4.5
138534630,148,4.6
76058957,232,4.5
59518200,552,4.7
7699053,138,4.8
54133235,120,4.7
115785215,94,3.4
125838543,177,4.6
173717336,22,4.6
116391343,95,5.0
90530495,159,4.6
147100752,1,4.0
186883908,27,5.0
130470014,44,5.0
94847014,105,4.7
8095711,1137,4.5
33787304,41,4.8
89473437,3,5.0
19423384,245,4.6
175147417,13,5.0
42491736,262,4.5
73147684,1,5.0
96209890,77,4.5
36935892,14,4.5
558346,6,4.7
57911829,50,5.0
56941522,225,4.6
23533560,8,4.5
7478361,6,5.0
132291817,8,5.0
113395638,5,5.0
31576989,117,4.7
170165687,4,5.0
45059353,1,5.0
647771,51,4.5
32021513,9,4.6
92366866,17,5.0
90135342,1,5.0
147413892,0,0.0
180997554,0,0.0
184814382,7,5.0
17941981,152,4.8
696495,50,4.0
110204562,62,4.8
181120173,5,3.6
139161475,44,4.7
80583091,1,5.0
126730148,36,4.7
106677814,184,4.8
118898224,55,4.6
80976065,42,4.8
120470959,36,4.8
71932587,57,4.6
36379695,218,4.8
477936,118,4.6
173187920,3,4.7
184245470,3,5.0
56247996,2,4.0
110894852,193,4.8
157055091,15,5.0
4166657,32,4.7
